Dias,Brazil,Italy,Spain,Iran,Hubei,USA
1,1,1,1,2,17,1
2,3,2,2,2,17,1
3,6,3,3,4,24,6
4,11,7,5,5,40,7
5,15,10,10,8,52,11
6,25,12,17,12,76,12
7,34,17,28,16,125,14
8,46,21,35,19,125,17
9,59,29,54,26,162,21
10,77,34,55,34,204,22
11,92,52,133,43,249,28
12,111,79,195,54,350,36
13,,107,289,66,414,40
14,,148,342,77,479,47
15,,197,533,92,549,54
16,,233,623,107,618,63
17,,366,830,124,699,85
18,,463,1043,145,780,108
19,,631,1375,194,871,118
20,,827,1772,237,974,200
21,,827,2311,291,1068,244
22,,1266,2808,354,1068,307
23,,1441,3647,429,1310,417
24,,1809,4365,514,1457,557
25,,2158,5138,611,1596,706
26,,2503,5982,724,1696,942
27,,2978,,853,1789,1209
28,,3405,,988,1921,1581
29,,4032,,1135,2029,2026
30,,4825,,1284,2144,
31,,5476,,1433,2144,
32,,6077,,1556,2346,
33,,6820,,1685,2346,
34,,7503,,1812,2495,
35,,8215,,1934,2563,
36,,9134,,2077,2615,
37,,10023,,2234,2641,
38,,,,2378,2682,
39,,,,2517,2727,
40,,,,,2761,
41,,,,,2803,
42,,,,,2835,
43,,,,,2871,
44,,,,,2902,
45,,,,,2931,
46,,,,,2959,
47,,,,,2986,
48,,,,,3008,
49,,,,,3024,
50,,,,,3046,
51,,,,,3056,
52,,,,,3062,
53,,,,,3075,
54,,,,,3085,
55,,,,,3099,
56,,,,,3111,
57,,,,,3122,
58,,,,,3130,
59,,,,,3133,
60,,,,,3139,
61,,,,,3153,
62,,,,,3153,
63,,,,,3160,
64,,,,,3163,
65,,,,,3169,
66,,,,,3174,
67,,,,,3177,
