Dias,Brazil,Italy,Spain,Iran,Hubei,USA
1,1,2,1,2,444,1
2,1,2,1,5,444,1
3,1,2,1,18,549,2
4,2,2,1,28,761,2
5,2,2,1,43,1058,5
6,2,2,1,61,1423,5
7,2,2,1,95,3554,5
8,4,3,1,139,3554,5
9,4,3,2,245,4903,5
10,13,3,2,388,5806,7
11,13,3,2,593,7153,8
12,20,3,2,978,11177,8
13,25,3,2,1501,13522,11
14,31,3,2,2336,16678,11
15,38,3,2,2922,19665,11
16,52,3,2,3513,22112,11
17,151,3,2,4747,24953,11
18,151,3,2,5823,27100,11
19,162,3,2,6566,29631,11
20,200,3,2,7161,31728,11
21,321,3,2,8042,33366,12
22,372,20,2,9000,33366,12
23,621,62,2,10075,48206,13
24,793,155,2,11364,54406,13
25,1021,229,6,12729,56249,13
26,1546,322,13,13938,58182,13
27,1924,453,15,14991,59989,13
28,2247,655,32,16169,61682,13
29,2554,888,45,17361,62031,13
30,2985,1128,84,18407,62442,13
31,3417,1694,120,19644,62662,15
32,3904,2036,165,20610,64084,15
33,,2502,222,21638,64084,15
34,,3089,259,23049,64287,51
35,,3858,400,24811,64786,51
36,,4636,500,27017,65187,57
37,,5883,673,29406,65596,58
38,,7375,1073,32332,65914,60
39,,9172,1695,35408,66337,68
40,,10149,2277,,66907,74
41,,12462,2277,,67103,98
42,,12462,5232,,67217,118
43,,17660,6391,,67332,149
44,,21157,7798,,67466,217
45,,24747,9942,,67592,262
46,,27980,11748,,67666,402
47,,31506,13910,,67707,518
48,,35713,17963,,67743,583
49,,41035,20410,,67760,959
50,,47021,25374,,67773,1281
51,,53578,28768,,67781,1663
52,,59138,35136,,67786,2179
53,,63927,39885,,67790,2727
54,,69176,49515,,67794,3499
55,,74386,57786,,67798,4632
56,,80589,65719,,67799,6421
57,,86498,73235,,67800,7783
58,,92472,,,67800,13677
59,,,,,67800,19100
60,,,,,67800,25489
61,,,,,67800,33276
62,,,,,67800,43847
63,,,,,67801,53740
64,,,,,67801,65778
65,,,,,67801,83836
66,,,,,67801,101657
67,,,,,67801,121478
