Data,AC,AM,AP,PA,RO,RR,TO,AL,BA,CE,MA,PB,PE,PI,RN,SE,ES,MG,RJ,SP,DF,GO,MS,MT,PR,SC,RS,Brasil
26/02/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
27/02/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
28/02/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
29/02/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
01/03/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
02/03/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
03/03/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
04/03/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
05/03/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,8
06/03/20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,13
07/03/20,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,13,1,0,0,0,0,0,0,19
08/03/20,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,3,16,1,0,0,0,0,0,0,25
09/03/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
10/03/20,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,8,19,1,0,0,0,0,0,1,34
11/03/20,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,13,30,2,0,0,0,0,0,2,69
12/03/20,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,1,1,16,42,2,0,0,0,6,0,4,78
13/03/20,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,0,1,2,16,56,2,3,0,0,6,2,4,98
14/03/20,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,0,1,2,22,65,6,3,0,0,6,4,6,121
15/03/20,0,1,0,0,0,0,0,1,2,0,0,0,2,0,1,1,1,2,24,136,8,3,0,0,6,6,6,200
16/03/20,0,1,0,0,0,0,0,1,2,0,0,0,2,0,1,1,1,5,31,152,13,3,2,0,6,7,6,234
17/03/20,0,1,0,0,0,0,0,1,3,5,0,0,16,0,1,4,1,7,33,164,22,6,4,0,6,7,10,291
18/03/20,0,1,0,0,0,0,0,1,3,9,0,0,16,0,1,5,9,15,45,240,26,8,7,0,13,10,19,428
19/03/20,3,3,0,1,0,0,1,4,30,20,0,1,28,0,1,6,11,29,65,286,42,12,7,0,23,20,28,621
20/03/20,7,3,1,2,1,0,1,5,33,55,0,1,30,3,1,6,13,35,109,396,87,15,9,1,32,21,37,904
21/03/20,9,11,1,2,1,0,2,7,41,68,1,1,30,4,6,10,26,38,119,459,100,20,16,2,43,51,60,1128
22/03/20,11,26,1,4,3,2,2,7,49,112,2,1,37,4,9,10,26,83,186,631,117,21,21,2,50,57,72,1546
23/03/20,11,32,1,5,3,2,5,7,63,163,2,2,42,6,13,10,29,128,233,745,133,23,21,2,56,68,86,1891
24/03/20,17,47,1,5,3,2,7,7,76,182,8,3,42,6,13,15,33,130,305,810,160,27,23,7,65,107,98,2201
25/03/20,23,54,1,7,5,8,7,11,84,200,8,3,46,8,14,16,39,133,370,862,160,29,24,8,81,109,123,2433
26/03/20,24,67,2,13,5,8,7,11,104,235,10,5,48,9,19,16,39,153,421,1052,200,39,25,11,102,122,168,2915
27/03/20,25,81,2,13,6,10,8,11,115,282,13,9,56,9,28,16,47,189,493,1223,230,49,28,11,119,149,195,3417
28/03/20,25,111,4,17,6,12,9,14,128,314,14,14,68,11,45,16,53,205,558,1406,260,56,31,13,133,184,197,3904
